YEAR,MO,DY,HR,WD2M,T2M,RH2M,PS,PRECTOTCORR,QV2M,CLRSKY_SFC_SW_DWN,TQV,V10M,U10M,WS10M,ALLSKY_SFC_SW_DWN
2025,5,23,0,232.6,30.07,18.06,94.93,0.0,5.06,-999.0,22.48,1.58,2.08,2.61,-999.0
2025,5,23,1,248.1,29.42,18.88,94.89,0.0,5.1,-999.0,21.5,1.0,2.46,2.66,-999.0
2025,5,23,2,268.7,28.96,19.05,94.89,0.0,5.01,-999.0,19.26,0.09,2.97,2.97,-999.0
2025,5,23,3,281.1,28.68,17.63,94.91,0.0,4.56,-999.0,16.81,-0.66,3.4,3.46,-999.0
2025,5,23,4,285.2,28.21,14.48,94.93,0.0,3.64,-999.0,15.14,-0.91,3.39,3.51,-999.0
2025,5,23,5,284.1,27.87,11.69,94.94,0.0,2.88,-999.0,13.65,-0.78,3.17,3.26,-999.0
2025,5,23,6,277.2,29.49,9.5,94.94,0.0,2.57,-999.0,12.41,-0.41,3.25,3.28,-999.0
2025,5,23,7,269.2,32.64,7.35,94.94,0.0,2.38,-999.0,11.73,0.06,4.82,4.82,-999.0
2025,5,23,8,267.9,35.5,6.59,94.95,0.0,2.5,-999.0,11.51,0.23,6.59,6.59,-999.0
2025,5,23,9,264.5,37.28,6.26,94.93,0.0,2.62,-999.0,11.38,0.74,7.76,7.8,-999.0
2025,5,23,10,261.4,38.72,5.79,94.91,0.0,2.62,-999.0,11.17,1.3,8.61,8.71,-999.0
2025,5,23,11,258.5,39.85,5.3,94.85,0.0,2.55,-999.0,11.07,1.85,9.08,9.27,-999.0
2025,5,23,12,256.6,40.67,4.77,94.79,0.0,2.4,-999.0,10.85,2.22,9.35,9.61,-999.0
2025,5,23,13,255.9,41.12,4.48,94.72,0.0,2.31,-999.0,10.14,2.42,9.65,9.95,-999.0
2025,5,23,14,256.2,41.12,4.42,94.66,0.0,2.28,-999.0,9.34,2.44,9.93,10.23,-999.0
2025,5,23,15,256.5,40.66,4.47,94.63,0.0,2.25,-999.0,8.84,2.4,10.04,10.32,-999.0
2025,5,23,16,256.6,39.73,4.63,94.62,0.0,2.22,-999.0,8.97,2.34,9.82,10.09,-999.0
2025,5,23,17,256.1,38.35,4.92,94.63,0.0,2.19,-999.0,9.28,2.24,9.07,9.34,-999.0
2025,5,23,18,256.2,36.55,5.36,94.68,0.0,2.16,-999.0,9.26,1.81,7.36,7.58,-999.0
2025,5,23,19,258.7,34.56,5.87,94.73,0.0,2.12,-999.0,8.95,1.13,5.62,5.73,-999.0
2025,5,23,20,263.4,32.86,6.37,94.8,0.0,2.09,-999.0,8.52,0.48,4.28,4.31,-999.0
2025,5,23,21,268.6,31.37,6.93,94.85,0.0,2.09,-999.0,8.22,0.08,3.53,3.53,-999.0
2025,5,23,22,271.9,30.16,7.5,94.86,0.0,2.11,-999.0,8.11,-0.12,3.24,3.24,-999.0
2025,5,23,23,274.7,29.16,8.01,94.81,0.0,2.13,-999.0,8.24,-0.26,3.07,3.08,-999.0
